"c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","age","race","marital","educlevl","insured"
4,3,4,4,3,3,4,5,3,5,2,2,4,4,2,4,5,5,4,5,61,1,2,4,1
3,2,4,2,2,2,2,3,1,4,3,4,3,4,3,3,3,3,2,3,62,1,2,4,1
5,5,5,4,4,3,5,4,5,5,4,4,5,5,4,3,4,4,2,3,63,1,2,3,1
4,2,5,3,2,2,4,3,1,4,1,5,3,5,2,4,3,3,1,3,64,1,3,3,1
1,3,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,2,1,1,65,1,3,3,1
4,1,2,2,3,1,3,4,3,1,4,2,2,3,2,3,4,4,5,3,25,1,1,3,1
4,2,4,1,4,4,3,4,4,4,3,3,3,4,4,4,4,3,5,4,26,1,1,5,1
5,3,4,4,3,4,4,5,3,3,3,3,3,4,3,3,4,5,4,4,27,1,1,3,1
4,4,5,4,4,3,4,5,3,4,2,3,4,4,5,3,3,4,4,4,28,1,1,3,1
4,3,4,3,4,4,3,5,1,4,3,1,4,5,4,4,4,5,4,4,29,2,1,3,1
3,3,5,4,3,3,3,2,1,4,1,4,2,3,3,5,3,3,2,5,30,1,1,3,1
4,4,2,3,3,2,3,4,3,3,1,2,2,2,1,3,3,4,4,4,31,1,2,4,1
4,3,5,3,3,4,5,5,2,5,2,5,4,5,5,5,4,3,5,5,32,1,2,4,1
4,3,4,4,4,4,4,4,2,4,3,4,2,5,3,4,3,3,2,3,33,1,2,4,1
3,4,4,2,2,2,4,3,2,4,2,2,2,3,3,4,2,3,2,2,34,1,2,4,1
4,5,5,4,3,4,4,2,4,4,2,3,4,4,4,5,4,5,4,5,35,1,2,4,1
3,3,4,3,3,4,4,2,4,3,3,3,4,4,4,4,5,3,2,3,36,1,2,3,1
5,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,37,1,2,3,1
5,4,5,4,3,4,4,4,4,5,3,4,4,5,3,4,4,4,5,4,38,1,2,3,1
3,3,4,2,2,2,4,4,5,4,2,4,3,4,2,4,4,5,4,4,39,1,2,3,1
4,4,5,5,4,4,5,3,4,5,3,4,4,5,5,5,4,4,5,5,40,1,1,5,0
2,4,4,2,3,2,3,2,2,4,4,4,4,4,3,4,3,4,2,4,41,1,1,4,0
4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,4,4,4,4,42,1,1,5,0
2,5,5,4,4,5,4,5,4,5,3,3,4,5,4,5,5,4,3,5,43,1,1,4,0
3,4,4,4,4,4,5,3,4,4,2,4,4,5,3,4,3,4,4,4,44,1,1,4,0
3,3,4,3,4,3,5,4,3,5,1,3,3,4,3,4,3,4,2,4,45,1,1,4,0
3,4,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,46,1,1,4,0
2,4,5,4,1,3,5,5,1,5,1,5,2,5,3,5,5,5,4,4,47,1,1,4,0
5,5,5,5,2,5,5,5,3,5,4,3,5,5,5,5,3,5,4,5,48,1,1,4,0
4,3,4,4,2,3,4,4,3,4,3,4,3,4,3,4,3,4,4,4,49,1,1,4,0
4,4,5,4,4,4,4,3,4,3,2,4,4,5,4,4,3,3,3,4,50,1,1,4,1
5,4,5,4,2,3,4,3,2,4,2,5,4,4,5,5,4,4,3,4,25,1,1,4,1
4,3,5,4,2,1,5,4,1,4,1,4,4,1,3,3,3,4,3,5,26,1,1,4,1
4,5,4,3,4,4,2,5,4,5,5,5,4,4,5,4,4,4,5,4,27,1,1,4,1
2,4,2,4,3,4,2,1,4,2,2,2,1,2,4,4,4,2,3,2,28,1,1,4,1
2,5,2,4,5,4,3,3,5,5,2,4,2,3,5,5,3,2,3,3,29,1,1,4,1
2,4,4,5,4,4,5,2,2,4,4,1,3,4,4,4,4,3,2,3,30,1,1,4,1
2,2,2,3,2,2,2,2,2,2,2,1,1,2,3,3,1,2,1,2,31,1,1,4,1
4,5,4,4,4,4,5,3,3,4,3,5,3,3,4,3,2,3,2,4,32,1,1,3,1
5,2,2,4,2,3,5,2,1,5,1,5,5,2,3,4,4,5,4,5,33,1,1,3,1
5,5,5,5,4,5,4,2,4,4,5,5,4,4,5,4,2,3,3,5,34,2,2,3,1
1,5,5,3,3,5,5,3,5,4,5,5,4,5,4,5,5,4,3,3,35,2,2,3,1
3,4,2,4,2,3,3,3,3,5,5,4,4,4,3,2,3,2,3,3,36,2,2,3,1
3,4,5,4,4,4,4,3,4,4,2,4,4,5,5,5,3,4,3,5,37,2,2,3,1
2,3,4,1,4,4,4,5,4,2,1,2,2,5,2,3,3,5,4,5,38,2,2,3,1
2,5,5,4,2,2,4,4,4,4,2,3,4,5,5,5,5,3,3,4,39,2,2,3,1
2,2,2,2,1,2,2,2,2,2,4,1,1,2,1,2,1,2,1,3,40,2,2,3,1
2,3,4,3,4,3,5,1,4,5,3,2,4,5,3,4,1,2,1,2,41,2,2,3,1
1,5,1,5,5,1,1,5,3,1,4,1,1,4,5,1,1,5,2,2,42,1,1,3,1
3,3,4,5,3,2,4,5,4,4,4,2,4,5,3,5,3,5,4,5,43,1,1,3,1
3,4,3,3,1,1,2,3,1,5,2,4,2,1,2,2,3,5,4,2,44,1,1,3,0
3,3,2,3,4,3,3,3,5,2,4,2,2,3,3,2,3,3,2,2,45,1,1,3,0
4,4,4,4,4,2,4,5,1,3,2,1,2,1,4,5,2,2,1,3,46,1,1,3,0
2,3,5,3,3,2,3,4,4,2,4,1,4,4,3,2,4,3,3,2,47,1,1,3,0
3,5,5,4,4,4,5,5,2,4,1,1,5,1,3,5,2,2,2,5,48,1,1,3,0
3,5,4,5,4,4,4,5,3,4,2,4,3,4,4,1,3,5,5,4,49,1,1,3,1
2,3,5,3,4,4,2,5,1,3,2,3,4,2,3,4,4,3,2,4,50,1,1,3,1
1,3,3,4,5,1,1,5,1,4,2,1,3,2,4,4,5,5,5,4,25,1,1,3,1
1,5,3,4,4,5,1,5,3,2,2,1,2,5,4,3,2,3,3,2,26,1,1,3,1
3,3,5,2,3,2,3,1,5,5,5,2,5,5,4,5,4,5,3,4,27,1,1,3,1
4,5,4,4,4,4,4,5,3,4,1,2,3,1,3,5,3,4,4,3,28,1,1,3,1
3,3,4,4,3,4,4,4,4,4,3,4,3,4,3,3,5,5,4,5,29,1,1,3,1
3,4,4,5,5,5,3,5,1,5,2,5,5,3,5,5,4,5,5,3,30,1,1,3,1
1,2,5,3,3,3,5,4,4,4,3,4,3,4,2,5,3,4,4,4,31,1,2,3,1
3,5,5,3,3,5,3,5,4,5,5,5,3,5,5,5,4,5,5,5,32,1,2,3,1
2,5,3,4,5,5,3,5,4,4,4,2,3,5,4,4,4,5,4,4,33,2,2,3,1
2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,34,2,2,3,1
3,2,4,3,3,2,3,4,3,3,3,3,3,3,2,4,3,3,2,3,35,2,2,3,1
4,3,4,4,3,3,4,5,3,5,2,2,4,4,2,4,5,5,4,5,36,2,2,3,1
3,2,4,2,2,2,2,3,1,4,3,4,3,4,4,3,3,3,2,3,37,2,2,3,1
5,5,5,4,4,3,5,4,5,5,4,4,5,5,4,3,4,4,2,3,38,2,2,3,1
4,2,5,3,2,2,4,3,1,4,1,5,3,5,2,4,3,3,1,3,39,3,1,3,1
1,3,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,2,1,1,40,3,1,3,1
4,1,2,2,3,1,3,4,3,1,4,2,2,3,2,3,4,4,5,3,41,3,1,3,1
4,2,4,1,4,4,3,4,4,4,3,3,3,4,4,4,4,3,5,4,42,3,1,4,1
5,3,4,4,3,4,4,5,3,3,3,3,3,4,3,3,4,5,4,4,43,3,1,4,0
4,4,5,4,4,3,4,5,3,4,2,3,4,4,5,3,3,4,4,4,44,3,1,4,0
3,3,4,3,4,4,3,5,1,4,3,1,4,5,4,4,4,5,4,4,45,4,1,4,0
3,3,5,4,3,3,3,2,1,4,1,4,2,3,3,5,3,3,2,5,46,4,1,4,0
4,4,2,3,3,2,3,4,3,3,1,2,2,2,1,3,3,4,4,4,47,1,1,3,0
4,3,5,3,3,4,5,5,2,5,2,5,4,5,5,5,4,3,5,5,48,1,1,3,0
4,3,4,4,4,4,4,4,2,4,3,4,2,5,3,4,3,3,2,3,49,1,1,3,0
3,4,4,2,2,2,4,3,2,4,2,2,2,3,3,4,2,3,2,2,50,1,1,4,0
4,5,5,4,3,4,4,2,4,4,2,3,4,4,4,5,4,5,4,5,38,1,1,4,0
3,3,4,3,3,4,4,2,4,3,3,3,4,4,4,4,5,3,2,3,39,1,1,4,0
5,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,40,1,1,4,1
5,4,5,4,3,4,4,4,4,5,3,4,4,5,3,4,4,4,5,4,41,1,3,4,1
3,3,4,2,2,2,4,4,5,4,2,4,3,4,2,4,4,5,4,4,42,1,3,3,1
4,4,5,5,4,4,5,3,4,5,3,4,4,5,5,5,4,4,5,5,43,1,3,3,1
2,4,4,2,3,2,3,2,2,4,4,4,4,4,3,4,3,4,2,4,44,1,3,3,1
4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,4,4,4,4,45,1,3,2,1
2,5,5,4,4,5,4,5,4,5,3,3,4,5,4,5,5,4,3,5,46,1,3,2,1
3,4,4,4,4,4,5,3,4,4,2,4,4,5,3,4,3,4,4,4,47,1,4,2,1
3,3,4,3,4,3,5,4,3,5,1,3,3,4,3,4,3,4,2,4,48,1,4,2,1
3,4,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,49,1,1,2,1
2,4,5,4,1,3,5,5,1,5,1,5,2,5,3,5,5,5,4,4,50,1,1,2,1
5,5,5,5,2,5,5,5,3,5,4,3,5,5,5,5,3,5,4,5,51,1,1,2,1
4,3,4,4,2,3,4,4,3,4,3,4,3,4,3,4,3,4,4,4,52,1,1,2,1
4,4,5,4,4,4,4,3,4,3,2,4,4,5,4,4,3,3,3,4,38,1,1,2,1
5,4,5,4,2,3,4,3,2,4,2,5,4,4,5,5,4,4,3,4,39,1,1,2,1
4,3,5,4,2,1,5,4,1,4,1,4,4,1,3,3,3,4,3,5,40,1,1,2,1
4,5,4,3,4,4,2,5,4,5,5,5,4,4,5,4,4,4,5,4,41,1,1,2,1
2,4,2,4,3,4,2,1,4,2,2,2,1,2,4,4,4,2,3,2,42,1,1,2,1
2,5,2,4,5,4,3,3,5,5,2,4,2,3,5,5,3,2,3,3,43,1,1,2,1
2,4,4,5,4,4,5,2,2,4,4,1,3,4,4,4,4,3,2,3,44,1,1,1,1
2,2,2,3,2,2,2,2,2,2,2,1,1,2,3,3,1,2,1,2,45,1,2,1,0
4,5,4,4,4,4,5,3,3,4,3,5,3,3,4,3,2,3,2,4,46,1,2,1,0
5,2,2,4,2,3,5,2,1,5,1,5,5,2,3,4,4,5,4,5,47,1,2,1,0
5,5,5,5,4,5,4,2,4,4,5,5,4,4,5,4,2,3,3,5,48,1,2,1,1
1,5,5,3,3,5,5,3,5,4,5,5,4,5,4,5,5,4,3,3,49,1,2,3,1
3,4,2,4,2,3,3,3,3,5,5,4,4,4,3,2,3,2,3,3,38,1,2,3,1
3,4,5,4,4,4,4,3,4,4,2,4,4,5,5,5,3,4,3,5,39,2,2,3,1
2,3,4,1,4,4,4,5,4,2,1,2,2,5,2,3,3,5,4,5,40,2,2,2,1
2,5,5,4,2,2,4,4,4,4,2,3,4,5,5,5,5,3,3,4,41,3,2,2,1
2,2,2,2,1,2,2,2,2,2,4,1,1,2,1,2,1,2,1,3,42,3,3,3,1
2,3,4,3,4,3,5,1,4,5,3,2,4,5,3,4,1,2,1,2,43,3,3,3,1
1,5,1,5,5,1,1,5,3,1,4,1,1,4,5,1,1,5,2,2,44,3,3,3,1
3,3,4,5,3,2,4,5,4,4,4,2,4,5,3,5,3,5,4,5,45,3,3,2,1
3,4,3,3,1,1,2,3,1,5,2,4,2,1,2,2,3,5,4,2,46,3,3,2,1
3,3,2,3,4,3,3,3,5,2,4,2,2,3,3,2,3,3,2,2,47,3,3,4,1
