TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,CDS,PH,FE-JONS,EK-PCPE,POSI,UCE,F.N.,UNA,UV,E.U.,PREPAL,AA,LV-GV,DN,ATTKA/PACMA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPYD,I.FEM,PNV...(E09),SAIn,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
Álava,ARRAIA-MAEZTU,,37,2,616,242,1,241,1,240,374,46,59,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,78,0,0,7,0,0,6,0,39
Bizkaia,ARRANKUDIAGA,,9,3,753,443,2,441,3,438,310,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,233,0,0,25,0,0,4,0,138
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18192,7334,20,7314,35,7279,10858,1976,626,5,2,0,16,2,0,0,0,1,2,2,0,28,1,8,0,0,19,3,0,0,1,23,4,1686,1,2,732,50,3,147,3,1936
Bizkaia,ARRATZU,,914,4,326,216,2,214,,214,110,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,125,0,0,20,0,0,0,0,64
Álava,ARRATZUA-UBARRUNDIA,,8,2,748,299,,299,5,294,449,62,65,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,90,0,0,25,0,0,6,0,36
Bizkaia,ARRIETA,,10,4,456,230,1,229,,229,226,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,152,0,0,18,0,0,2,0,46
Bizkaia,ARRIGORRIAGA,,11,3,9726,4018,8,4010,30,3980,5708,1151,446,2,1,3,2,7,1,2,1,0,0,0,0,19,0,6,1,0,5,4,0,0,0,43,7,1383,1,1,187,6,0,96,2,603
Bizkaia,ARTEA,,23,3,616,391,8,383,3,380,225,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,180,0,0,76,1,0,2,0,94
Bizkaia,ARTZENTALES,,8,2,595,343,,343,4,339,252,20,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,2,0,232,0,0,27,0,1,4,0,33
Álava,ARTZINIEGA,,4,3,1444,689,3,686,5,681,755,121,140,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,0,10,0,236,0,0,70,0,0,6,0,89
Álava,ASPARRENA,,9,2,1298,519,4,515,2,513,779,77,47,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,4,1,151,1,0,55,3,0,9,1,157
Gipuzkoa,ASTEASU,,14,3,1122,352,3,349,1,348,770,22,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,100,0,0,44,1,0,5,0,162
Gipuzkoa,ASTIGARRAGA,,903,1,3542,1158,3,1155,11,1144,2384,174,74,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,8,0,291,0,0,129,0,0,20,0,441
Gipuzkoa,ATAUN,,15,3,1343,751,1,750,,750,592,15,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,210,0,0,102,2,0,0,0,416
Bizkaia,ATXONDO,,91,3,1203,571,2,569,10,559,632,77,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,220,0,0,28,0,0,2,0,208
Bizkaia,AULESTI,,70,4,570,311,3,308,3,305,259,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,13,0,0,2,0,169
Álava,AYALA/AIARA,,10,3,2223,1040,8,1032,11,1021,1183,123,157,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,1,2,0,0,0,4,0,475,0,0,72,3,0,16,1,159
Gipuzkoa,AZKOITIA,,17,4,8743,3599,8,3591,12,3579,5144,569,224,0,1,0,0,0,1,0,0,0,3,0,0,17,10,2,1,0,3,4,0,1,0,12,2,1542,0,1,316,2,0,33,2,833
Gipuzkoa,AZPEITIA,,18,4,11115,4411,6,4405,20,4385,6704,359,187,2,0,2,7,0,1,1,1,0,1,0,0,8,0,2,0,1,0,2,0,0,0,6,3,1882,1,1,501,9,0,19,1,1388
Álava,AÑANA,,49,2,158,88,1,87,1,86,70,25,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,28,0,0,7,0,1,0,0,5
Bizkaia,BAKIO,,12,4,1874,1128,10,1118,3,1115,746,63,30,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,2,0,0,0,5,1,663,0,0,100,3,0,10,0,231
Gipuzkoa,BALIARRAIN,,904,3,90,24,,24,,24,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,16
Bizkaia,BALMASEDA,,90,2,6000,3162,29,3133,21,3112,2838,925,265,0,2,0,4,5,1,2,0,0,0,0,1,18,1,6,0,1,4,2,1,0,0,29,1,1385,1,2,144,5,0,36,1,270
Bizkaia,BARAKALDO,,13,2,81776,32393,144,32249,257,31992,49383,14174,6120,11,10,15,23,36,11,4,5,1,9,9,3,194,14,77,1,6,65,49,6,9,12,503,26,6265,6,14,764,29,1,834,16,2670
Bizkaia,BARRIKA,,14,4,1164,533,3,530,4,526,631,61,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,4,1,260,0,3,50,1,0,3,1,102
Álava,BARRUNDIA,,13,2,695,247,,247,2,245,448,28,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,5,0,82,0,0,24,0,0,8,0,58
Bizkaia,BASAURI,,15,3,35935,14954,68,14886,79,14807,20981,5972,2288,2,11,0,12,8,7,2,4,0,3,3,1,62,9,39,5,0,32,5,2,2,2,165,13,4028,2,2,419,31,1,243,12,1420
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,259,153,2,151,3,148,106,24,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,4,0,0,1,0,2
Gipuzkoa,BEASAIN,,19,3,10177,4023,13,4010,17,3993,6154,1092,342,1,4,0,0,2,0,0,1,0,0,0,2,27,0,9,1,0,1,2,0,2,0,16,0,1243,4,1,400,5,0,47,1,790
Bizkaia,BEDIA,,92,3,785,413,1,412,3,409,372,42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,254,0,0,19,0,0,7,0,61
Gipuzkoa,BEIZAMA,,20,4,146,70,,70,1,69,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,33
Gipuzkoa,BELAUNTZA,,21,3,236,71,,71,1,70,165,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,6,0,0,1,0,37
Bizkaia,BERANGO,,16,4,5079,2247,11,2236,13,2223,2832,517,302,0,0,0,1,0,1,0,1,0,0,4,0,31,0,4,0,0,10,3,0,0,0,45,0,737,0,0,121,5,0,35,2,404
Álava,BERANTEVILLA,,14,2,395,188,,188,3,185,207,34,69,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,8,0,0,4,4,11
Gipuzkoa,BERASTEGI,,22,3,823,279,1,278,1,277,544,14,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,99,0,0,47,0,0,1,0,109
Gipuzkoa,BERGARA,,74,4,11846,4775,10,4765,14,4751,7071,829,252,1,1,0,4,2,1,1,1,1,1,0,1,22,2,4,0,0,1,2,1,2,1,7,2,1482,3,1,563,8,0,90,0,1465
Bizkaia,BERMEO,,17,4,13640,6440,15,6425,7,6418,7200,503,153,0,0,48,0,1,0,0,0,0,0,1,0,14,1,5,1,0,3,0,0,0,2,8,2,3829,1,0,832,1,0,35,1,977
Álava,BERNEDO,,16,2,479,141,,141,1,140,338,25,34,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,45,0,0,8,1,0,3,0,19
Bizkaia,BERRIATUA,,18,4,941,420,2,418,,418,521,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,187,0,0,34,2,0,0,0,182
Bizkaia,BERRIZ,,19,3,3872,1675,5,1670,10,1660,2197,397,149,1,0,0,2,0,0,0,0,0,0,1,0,10,0,2,1,0,2,4,0,1,0,19,1,600,0,0,101,0,0,29,0,340
Gipuzkoa,BERROBI,,23,3,473,173,,173,,173,300,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,6,0,20,0,0,1,0,74
Gipuzkoa,BIDANIA-GOIATZ,,24,4,384,123,,123,,123,261,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,16,0,0,3,0,54
Bizkaia,BILBAO,,20,1,281657,121678,444,121234,908,120326,159979,35061,26122,44,41,40,111,83,36,26,15,7,19,34,6,726,59,283,103,7,336,162,12,23,67,2543,233,35450,27,27,4023,248,11,2547,114,11680
Bizkaia,BUSTURIA,,21,4,1481,798,3,795,6,789,683,81,32,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,387,0,0,73,0,0,5,0,203
Álava,CAMPEZO/KANPEZU,,17,2,911,363,,363,3,360,548,57,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,5,0,113,0,0,25,1,0,9,0,62
Gipuzkoa,DEBA,,29,4,4323,1784,6,1778,11,1767,2539,228,92,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,6,0,617,0,0,244,10,0,42,0,519
Bizkaia,DERIO,,901,4,4285,1995,16,1979,15,1964,2290,712,204,0,1,1,1,0,0,1,0,0,0,0,0,7,2,4,0,0,8,6,0,0,0,16,0,726,0,0,82,1,0,29,0,163
Bizkaia,DIMA,,26,3,1060,651,2,649,2,647,409,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,322,0,0,47,0,0,0,0,257
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147736,60100,181,59919,600,59319,87636,17146,11804,12,16,15,21,29,11,9,4,4,10,14,3,359,10,138,20,5,155,69,4,7,39,1499,47,12101,15,8,4383,76,9,1103,61,10113
Bizkaia,DURANGO,,27,3,21636,9364,15,9349,69,9280,12272,2002,1197,1,1,2,6,2,2,2,0,0,2,1,1,42,2,12,2,0,12,15,1,1,1,92,4,3297,1,2,673,5,1,149,6,1743
Bizkaia,EA,,28,4,787,475,1,474,2,472,312,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,229,0,0,50,0,0,1,0,178
Gipuzkoa,EIBAR,,30,4,22577,9386,21,9365,60,9305,13191,3233,1142,1,6,1,1,9,2,2,0,1,1,0,1,39,0,15,4,0,9,5,2,0,1,72,4,2408,4,6,654,12,1,170,4,1495
Bizkaia,ELANTXOBE,,31,4,384,230,1,229,,229,154,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,26,0,0,0,0,63
Álava,ELBURGO/BURGELU,,21,2,418,160,2,158,,158,258,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,60,0,0,7,0,0,2,0,16
Álava,ELCIEGO,,22,2,841,475,3,472,1,471,366,200,144,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,10,0,69,0,0,19,0,0,7,0,14
Gipuzkoa,ELDUAIN,,31,3,187,79,,79,,79,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,3,0,0,0,0,50
Gipuzkoa,ELGETA,,33,4,859,441,1,440,2,438,418,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,160,0,1,96,1,0,4,0,132
Gipuzkoa,ELGOIBAR,,32,4,9035,3874,11,3863,21,3842,5161,931,359,0,0,1,0,0,2,0,0,1,1,0,0,11,1,2,2,0,2,4,0,0,0,17,0,1252,75,1,302,1,0,48,0,829
Bizkaia,ELORRIO,,32,3,5907,2645,7,2638,12,2626,3262,480,243,0,1,0,0,2,0,0,0,1,0,1,0,5,1,4,0,0,0,10,0,1,0,6,2,817,0,0,254,3,0,21,1,773
Álava,ELVILLAR/BILAR,,23,2,291,160,1,159,1,158,131,33,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,41,0,0,2,0,0,0,0,10
Bizkaia,ERANDIO,,902,4,19368,7744,24,7720,45,7675,11624,2544,893,1,3,1,6,8,3,2,1,1,2,3,1,27,3,20,4,0,16,6,0,3,2,56,4,2870,1,2,225,28,0,121,2,816
Bizkaia,EREÑO,,33,4,229,140,4,136,,136,89,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,16,0,0,0,0,41
Bizkaia,ERMUA,,34,3,13318,5829,21,5808,39,5769,7489,2592,1454,8,0,0,1,3,0,0,9,0,3,0,0,78,1,7,0,0,7,3,0,2,0,99,3,720,2,0,180,5,0,168,1,423
Gipuzkoa,ERRENTERIA,,67,2,31499,11756,36,11720,91,11629,19743,4529,1257,3,5,11,14,9,0,3,2,0,7,2,0,69,6,22,2,2,34,8,0,2,6,101,4,1755,1,5,595,22,2,285,6,2860
Gipuzkoa,ERREZIL,,66,4,481,198,,198,,198,283,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,9,0,0,0,0,126
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,606,253,1,252,4,248,353,43,61,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,10,0,89,0,0,1,1,0,6,0,31
Bizkaia,ERRIGOITI,,79,4,439,285,,285,,285,154,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,184,0,0,18,0,0,0,0,69
Gipuzkoa,ESKORIATZA,,34,4,3275,1217,,1217,1,1216,2058,303,65,0,0,0,5,0,0,0,1,0,0,0,0,11,0,1,0,0,2,0,1,1,1,3,0,319,1,0,132,3,0,15,1,351
Bizkaia,ETXEBARRI,,29,3,7416,2682,13,2669,21,2648,4734,1106,457,2,0,0,4,5,1,0,0,1,1,0,0,20,0,11,0,0,12,1,0,0,0,60,3,578,2,2,112,6,1,60,2,201
Bizkaia,ETXEBARRIA,,30,4,642,324,,324,1,323,318,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,136,0,0,29,1,0,0,0,142
Gipuzkoa,EZKIO-ITSASO,,35,3,463,205,,205,,205,258,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,28,0,0,1,0,104
Bizkaia,FORUA,,906,4,814,440,,440,1,439,374,19,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,210,0,0,28,1,0,3,0,165
Bizkaia,FRUIZ,,35,4,349,203,1,202,1,201,146,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,123,0,0,5,0,0,3,0,55
Gipuzkoa,GABIRIA,,38,3,363,177,,177,,177,186,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,50,0,0,0,0,54
Gipuzkoa,GAINTZA,,37,3,108,46,,46,1,45,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,22
Bizkaia,GALDAKAO,,36,3,24155,9730,37,9693,61,9632,14425,2530,1088,5,2,1,3,5,2,0,2,1,1,5,2,44,3,21,0,1,14,12,0,0,0,143,12,3464,6,5,543,11,1,199,1,1505
Bizkaia,GALDAMES,,37,2,732,388,5,383,2,381,344,36,19,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,1,208,0,0,36,0,0,6,0,65
Bizkaia,GAMIZ-FIKA,,38,4,1073,587,1,586,1,585,486,30,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,335,0,0,50,0,0,3,0,146
Bizkaia,GARAI,,39,3,257,152,2,150,,150,105,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,11,0,0,1,0,41
Bizkaia,GATIKA,,40,4,1251,585,,585,12,573,666,40,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,314,0,0,63,1,0,4,0,126
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,730,449,3,446,,446,281,18,11,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,244,0,0,42,0,0,3,0,121
Gipuzkoa,GAZTELU,,907,3,133,69,,69,,69,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,2,0,46
Bizkaia,GERNIKA-LUMO,,46,4,12683,6263,10,6253,23,6230,6420,858,350,1,0,0,2,4,0,1,1,1,1,1,0,16,1,4,1,0,5,7,2,0,2,20,3,2709,2,0,703,5,1,54,1,1474
Gipuzkoa,GETARIA,,39,4,2014,1054,1,1053,4,1049,960,40,20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,507,1,0,129,0,0,5,0,341
Bizkaia,GETXO,,44,4,64740,30624,76,30548,232,30316,34116,5862,8519,8,13,5,6,9,5,1,4,1,5,2,1,161,4,63,2,1,61,40,0,9,21,905,15,9693,8,1,1215,62,4,391,46,3173
Bizkaia,GIZABURUAGA,,47,4,154,88,,88,,88,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,6,0,0,0,0,55
Bizkaia,GORDEXOLA,,42,2,1424,891,10,881,2,879,533,104,113,0,0,0,2,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,18,0,519,0,0,47,0,0,15,0,53
Bizkaia,GORLIZ,,43,4,4184,2007,7,2000,15,1985,2177,256,157,0,0,0,1,1,1,3,0,0,0,7,0,15,0,8,0,0,8,4,0,0,0,23,3,972,0,1,186,3,0,35,1,300
Bizkaia,GÜEÑES,,45,2,5089,2890,18,2872,26,2846,2199,563,154,3,1,0,2,6,1,1,1,2,0,0,0,9,0,11,1,2,1,4,0,0,0,26,1,1475,0,0,186,3,0,21,1,371
Álava,HARANA/VALLE DE ARANA,,56,2,277,124,,124,2,122,153,13,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,12
Gipuzkoa,HERNANI,,40,1,15246,6121,18,6103,47,6056,9125,1305,427,0,0,0,1,8,0,1,0,2,2,1,0,28,5,4,0,0,4,2,0,1,0,38,3,935,5,2,481,13,1,120,4,2663
Gipuzkoa,HERNIALDE,,41,3,276,78,,78,2,76,198,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,11,0,0,1,0,34
Gipuzkoa,HONDARRIBIA,,36,2,12827,4806,18,4788,68,4720,8021,914,491,0,1,0,3,2,1,2,0,1,0,1,0,27,1,13,2,0,4,2,0,2,0,62,9,1746,1,1,428,5,1,57,1,942
Gipuzkoa,IBARRA,,42,3,3461,1260,5,1255,6,1249,2201,276,89,0,0,0,0,1,0,0,0,0,1,0,0,6,1,2,0,0,1,0,0,0,0,2,0,224,0,0,109,0,0,12,0,525
Bizkaia,IBARRANGELU,,48,4,537,325,,325,1,324,212,11,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,20,0,0,1,0,101
Gipuzkoa,IDIAZABAL,,43,3,1778,710,2,708,4,704,1068,41,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,250,0,0,140,1,0,5,0,235
