TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,PFYV,UPYD,EQUO,IU-UPEC,EB-AZ,O.E.,EH BILDU,PYC,HARTOS.ORG
Bizkaia,ARAKALDO,,5,3,91,56,,56,1,55,35,24,1,0,0,0,0,0,3,0,0,0,0,0,1,0,,26,,0
Gipuzkoa,ARAMA,,12,3,149,112,,112,1,111,37,40,1,1,0,,,0,4,0,0,,0,0,1,0,,64,,
Álava,ARAMAIO,,3,2,1199,889,3,886,4,882,310,270,8,13,0,,,0,26,1,1,,3,7,8,5,1,539,0,
Bizkaia,ARANTZAZU,,6,3,287,248,1,247,4,243,39,117,3,0,0,0,0,0,2,1,0,0,1,0,0,1,,117,,1
Bizkaia,AREATZA,,93,3,902,713,11,702,5,697,189,315,46,7,0,0,0,2,34,0,1,2,1,1,7,4,,275,,2
Gipuzkoa,ARETXABALETA,,13,4,5389,3679,35,3644,27,3617,1710,1250,132,61,1,,,3,497,6,8,,17,34,117,12,,1479,,
Álava,ARMIÑÓN,,6,2,182,120,1,119,4,115,62,27,28,0,0,,,0,19,1,1,,8,0,4,1,0,26,0,
Álava,ARRAIA-MAEZTU,,37,2,624,403,5,398,1,397,221,153,73,2,1,,,0,27,1,0,,3,4,6,5,1,121,0,
Bizkaia,ARRANKUDIAGA,,9,3,763,610,2,608,4,604,153,283,18,7,0,0,0,0,14,0,1,0,0,3,0,0,,277,,1
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17704,11394,72,11322,123,11199,6310,3361,561,207,10,,,7,2272,23,22,,56,69,440,61,,4110,,
Bizkaia,ARRATZU,,914,4,323,278,2,276,2,274,45,138,0,1,0,1,0,0,1,0,0,0,0,2,1,0,,130,,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,789,532,1,531,7,524,257,178,85,13,0,,,0,67,4,2,,16,10,6,7,0,136,0,
Bizkaia,ARRIETA,,10,4,436,324,2,322,1,321,112,191,1,5,0,0,0,0,3,0,0,1,0,4,2,1,,112,,1
Bizkaia,ARRIGORRIAGA,,11,3,9695,6373,51,6322,105,6217,3322,2413,389,127,12,3,8,4,1167,37,6,5,119,70,195,42,,1589,,31
Bizkaia,ARTEA,,23,3,591,500,1,499,6,493,91,242,19,0,0,0,0,0,13,0,0,0,0,3,0,0,,215,,1
Bizkaia,ARTZENTALES,,8,2,601,441,14,427,4,423,160,273,14,5,0,0,1,0,17,2,0,0,0,2,4,1,,104,,0
Álava,ARTZINIEGA,,4,3,1418,986,27,959,10,949,432,390,132,16,0,,,2,84,6,0,,19,11,7,15,0,267,0,
Álava,ASPARRENA,,9,2,1296,873,9,864,4,860,423,293,51,11,0,,,2,74,5,1,,10,8,22,9,1,373,0,
Gipuzkoa,ASTEASU,,14,3,1108,680,,680,5,675,428,208,15,7,0,,,0,44,0,0,,0,1,9,2,,389,,
Gipuzkoa,ASTIGARRAGA,,903,1,3811,2418,13,2405,49,2356,1393,843,107,42,1,,,1,252,9,2,,21,25,46,50,,957,,
Gipuzkoa,ATAUN,,15,3,1310,1015,3,1012,14,998,295,374,1,4,0,,,0,12,0,0,,1,1,4,2,,599,,
Bizkaia,ATXONDO,,91,3,1162,814,8,806,11,795,348,325,26,12,0,0,0,0,68,2,0,1,4,3,7,1,,344,,2
Bizkaia,AULESTI,,70,4,543,407,2,405,6,399,136,135,0,0,0,0,0,0,3,0,0,0,0,0,1,0,,260,,0
Álava,AYALA/AIARA,,10,3,2264,1623,25,1598,21,1577,641,690,142,21,2,,,3,126,3,2,,18,10,30,12,0,517,1,
Gipuzkoa,AZKOITIA,,17,4,8587,5872,28,5844,42,5802,2715,2428,246,62,11,,,3,628,15,6,,26,22,88,29,,2238,,
Gipuzkoa,AZPEITIA,,18,4,11064,7776,37,7739,68,7671,3288,3326,190,42,4,,,1,368,5,4,,25,8,78,23,,3597,,
Álava,AÑANA,,49,2,141,104,,104,1,103,37,44,16,0,0,,,0,14,1,0,,0,1,1,1,0,25,0,
Bizkaia,BAKIO,,12,4,2040,1639,14,1625,18,1607,401,895,37,14,0,0,0,0,54,0,0,3,8,17,13,8,,552,,6
Gipuzkoa,BALIARRAIN,,904,3,103,59,,59,1,58,44,9,0,0,0,,,0,0,1,0,,0,0,0,0,,48,,
Bizkaia,BALMASEDA,,90,2,6146,4414,88,4326,44,4282,1732,2135,245,65,3,2,4,0,841,18,1,7,42,20,89,34,,759,,17
Bizkaia,BARAKALDO,,13,2,80765,49393,455,48938,731,48207,31372,14408,5971,1132,47,49,86,34,14280,190,125,86,1247,362,2163,484,,7263,,280
Bizkaia,BARRIKA,,14,4,1195,832,3,829,9,820,363,377,59,2,0,0,0,0,77,2,1,0,6,10,18,7,,255,,6
Álava,BARRUNDIA,,13,2,710,470,1,469,6,463,240,150,50,6,0,,,0,34,2,7,,8,16,5,3,1,181,0,
Bizkaia,BASAURI,,15,3,34605,22013,174,21839,267,21572,12592,7557,2289,367,29,21,26,8,5971,104,34,42,427,122,696,135,,3627,,117
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,242,163,6,157,7,150,79,54,62,0,0,,,0,18,0,0,,2,2,1,0,0,11,0,
Gipuzkoa,BEASAIN,,19,3,10113,6509,48,6461,81,6380,3604,2537,318,82,2,,,3,1098,25,14,,62,54,148,44,,1993,,
Bizkaia,BEDIA,,92,3,817,608,5,603,9,594,209,336,23,10,0,0,0,0,42,1,1,2,7,0,5,2,,164,,1
Gipuzkoa,BEIZAMA,,20,4,139,91,,91,1,90,48,36,1,0,0,,,0,0,2,0,,0,1,0,0,,50,,
Gipuzkoa,BELAUNTZA,,21,3,214,118,,118,1,117,96,41,3,0,1,,,0,5,0,0,,0,0,0,0,,67,,
Bizkaia,BERANGO,,16,4,5178,3611,25,3586,43,3543,1567,1376,406,50,1,1,3,0,538,10,9,6,66,34,89,38,,905,,11
Álava,BERANTEVILLA,,14,2,383,272,6,266,4,262,111,80,72,5,0,,,1,39,0,0,,13,5,6,2,0,39,0,
Gipuzkoa,BERASTEGI,,22,3,836,546,4,542,7,535,290,204,8,5,0,,,0,22,0,0,,0,1,0,3,,292,,
Gipuzkoa,BERGARA,,74,4,11612,7981,49,7932,83,7849,3631,2885,240,114,5,,,3,969,18,11,,18,58,173,49,,3306,,
Bizkaia,BERMEO,,17,4,13438,9228,31,9197,49,9148,4210,4820,159,111,2,3,3,5,495,8,3,8,12,18,72,34,,3373,,22
Álava,BERNEDO,,16,2,455,245,11,234,6,228,210,88,44,0,0,,,0,15,0,1,,9,1,5,2,0,63,0,
Bizkaia,BERRIATUA,,18,4,890,626,,626,4,622,264,258,2,8,1,0,0,0,10,3,0,2,1,1,0,1,,334,,1
Bizkaia,BERRIZ,,19,3,3669,2455,25,2430,21,2409,1214,933,133,37,4,0,2,3,399,5,3,1,28,23,37,12,,779,,10
Gipuzkoa,BERROBI,,23,3,445,280,,280,4,276,165,67,8,7,0,,,0,11,0,0,,1,2,4,1,,175,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,397,253,1,252,1,251,144,74,9,6,1,,,0,2,2,0,,1,1,2,0,,153,,
Bizkaia,BILBAO,,20,1,275318,178923,1095,177828,2347,175481,96395,64817,29481,2566,198,116,304,95,34844,713,443,281,4222,1747,4655,2200,,27874,,925
Bizkaia,BUSTURIA,,21,4,1425,1026,6,1020,14,1006,399,505,30,11,0,0,1,0,82,2,1,0,2,3,11,5,,351,,2
Álava,CAMPEZO/KANPEZU,,17,2,896,578,4,574,10,564,318,208,88,10,0,,,1,44,2,0,,9,6,9,5,0,182,0,
Gipuzkoa,DEBA,,29,4,4266,3042,13,3029,35,2994,1224,1213,101,49,4,,,0,254,7,1,,19,15,59,16,,1256,,
Bizkaia,DERIO,,901,4,4501,3187,22,3165,50,3115,1314,1379,212,58,2,1,4,2,697,12,11,6,35,25,69,28,,549,,25
Bizkaia,DIMA,,26,3,1101,908,3,905,,905,193,350,10,6,0,0,0,1,6,3,1,0,1,2,8,4,,511,,2
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,146677,96915,492,96423,1379,95044,49762,28148,14825,1345,101,,,58,21626,454,221,,2368,878,2575,1252,,21193,,
Bizkaia,DURANGO,,27,3,21692,14798,92,14706,154,14552,6894,5821,1345,221,9,19,22,1,2068,35,26,24,164,116,294,126,,4195,,66
Bizkaia,EA,,28,4,755,616,1,615,5,610,139,277,4,4,0,1,0,0,4,0,0,0,0,2,1,2,,315,,0
Gipuzkoa,EIBAR,,30,4,22013,14517,82,14435,182,14253,7496,4250,1150,236,9,,,8,3954,39,23,,124,99,415,107,,3839,,
Bizkaia,ELANTXOBE,,31,4,353,296,,296,1,295,57,158,2,0,1,0,0,0,0,0,0,0,1,1,1,0,,131,,0
Álava,ELBURGO/BURGELU,,21,2,468,312,6,306,1,305,156,115,57,2,0,,,1,25,5,2,,12,9,9,6,0,62,0,
Álava,ELCIEGO,,22,2,821,538,12,526,9,517,283,111,134,9,1,,,2,138,1,0,,19,9,19,6,0,68,0,
Gipuzkoa,ELDUAIN,,31,3,181,121,,121,,121,60,44,1,0,0,,,0,1,0,0,,0,2,1,0,,72,,
Gipuzkoa,ELGETA,,33,4,874,668,7,661,5,656,206,254,14,8,0,,,0,17,0,1,,1,6,18,4,,333,,
Gipuzkoa,ELGOIBAR,,32,4,8902,6036,41,5995,70,5925,2866,2328,354,56,3,,,3,988,6,4,,38,24,112,50,,1959,,
Bizkaia,ELORRIO,,32,3,5812,4112,30,4082,30,4052,1700,1400,265,45,2,3,8,1,422,4,3,6,14,12,67,11,,1764,,25
Álava,ELVILLAR/BILAR,,23,2,286,192,1,191,4,187,94,71,58,1,0,,,0,20,0,0,,4,0,3,0,0,30,0,
Bizkaia,ERANDIO,,902,4,19229,12134,105,12029,236,11793,7095,4963,874,236,9,9,17,11,2632,44,26,11,159,88,337,113,,2197,,67
Bizkaia,EREÑO,,33,4,212,170,,170,2,168,42,86,3,1,0,0,0,0,1,0,2,0,0,1,1,1,,71,,1
Bizkaia,ERMUA,,34,3,13112,8281,62,8219,102,8117,4831,1598,1264,169,8,9,19,7,2913,26,19,21,270,67,408,56,,1188,,75
Gipuzkoa,ERRENTERIA,,67,2,31031,18573,120,18453,239,18214,12458,3935,1306,341,13,,,18,5293,129,44,,383,124,792,231,,5605,,
Gipuzkoa,ERREZIL,,66,4,466,326,6,320,,320,140,95,0,0,0,,,0,1,0,0,,0,1,2,0,,221,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,606,382,5,377,6,371,224,144,72,2,0,,,1,43,2,1,,13,8,6,6,0,73,0,
Bizkaia,ERRIGOITI,,79,4,459,383,,383,6,377,76,190,10,3,0,0,1,0,4,0,0,0,0,3,2,0,,163,,1
Gipuzkoa,ESKORIATZA,,34,4,3169,2031,9,2022,11,2011,1138,636,64,38,3,,,3,407,3,5,,4,19,85,10,,734,,
Bizkaia,ETXEBARRI,,29,3,8094,5018,39,4979,82,4897,3076,1641,481,103,15,7,3,6,1329,22,14,9,158,51,216,64,,716,,62
Bizkaia,ETXEBARRIA,,30,4,621,510,,510,3,507,111,247,3,1,0,0,0,0,9,1,0,1,0,0,2,0,,240,,3
Gipuzkoa,EZKIO-ITSASO,,35,3,493,338,,338,3,335,155,123,2,1,0,,,0,5,0,0,,0,0,5,0,,199,,
Bizkaia,FORUA,,906,4,778,629,1,628,4,624,149,293,13,3,0,0,0,0,24,1,0,0,1,4,3,1,,281,,0
Bizkaia,FRUIZ,,35,4,407,320,3,317,4,313,87,172,7,3,0,0,0,0,10,0,0,0,4,3,3,2,,109,,0
Gipuzkoa,GABIRIA,,38,3,383,290,3,287,2,285,93,116,1,0,0,,,0,4,1,0,,0,0,1,0,,162,,
Gipuzkoa,GAINTZA,,37,3,102,75,,75,3,72,27,33,0,2,0,,,0,1,1,0,,0,1,0,0,,34,,
Bizkaia,GALDAKAO,,36,3,23963,15690,139,15551,169,15382,8273,6195,1152,327,9,10,15,8,2666,58,28,14,297,103,514,134,,3779,,73
Bizkaia,GALDAMES,,37,2,710,529,3,526,7,519,181,297,13,7,0,0,0,0,31,1,0,0,1,6,3,2,,156,,2
Bizkaia,GAMIZ-FIKA,,38,4,1088,836,5,831,10,821,252,437,32,5,0,1,0,0,26,1,1,1,1,4,3,8,,301,,0
Bizkaia,GARAI,,39,3,257,220,,220,1,219,37,119,2,2,0,0,0,0,6,0,0,0,0,0,1,3,,86,,0
Bizkaia,GATIKA,,40,4,1269,926,6,920,18,902,343,501,29,8,0,1,0,0,42,4,1,0,1,2,4,3,,305,,1
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,722,585,6,579,2,577,137,321,7,4,0,0,0,0,26,2,0,0,0,6,4,1,,206,,0
Gipuzkoa,GAZTELU,,907,3,138,105,4,101,1,100,33,31,0,0,0,,,0,2,1,0,,0,1,0,0,,65,,
Bizkaia,GERNIKA-LUMO,,46,4,12666,9404,56,9348,77,9271,3262,3948,342,135,6,3,1,5,761,19,5,9,43,35,100,39,,3794,,26
Gipuzkoa,GETARIA,,39,4,2017,1571,1,1570,14,1556,446,701,24,6,0,,,0,43,2,1,,3,2,14,12,,748,,
Bizkaia,GETXO,,44,4,63687,45264,272,44992,593,44399,18423,16471,10864,481,32,29,50,11,5779,130,79,44,1114,418,731,529,,7449,,188
Bizkaia,GIZABURUAGA,,47,4,161,124,,124,2,122,37,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,86,,0
Bizkaia,GORDEXOLA,,42,2,1390,1072,21,1051,7,1044,318,620,107,28,5,0,0,0,86,2,2,0,15,6,12,7,,145,,9
Bizkaia,GORLIZ,,43,4,4251,3033,19,3014,45,2969,1218,1516,197,37,0,0,0,1,235,11,6,2,31,32,55,35,,802,,9
Bizkaia,GÜEÑES,,45,2,5093,3786,55,3731,48,3683,1307,1895,171,72,3,2,2,5,464,6,3,3,39,25,29,18,,940,,6
Álava,HARANA/VALLE DE ARANA,,56,2,246,161,,161,1,160,85,95,19,1,0,,,0,12,1,0,,2,1,0,1,0,28,0,
Gipuzkoa,HERNANI,,40,1,15108,9491,67,9424,136,9288,5617,2203,456,117,5,,,11,1490,31,10,,79,76,230,92,,4488,,
Gipuzkoa,HERNIALDE,,41,3,277,156,,156,,156,121,59,1,0,0,,,0,3,0,0,,1,5,1,2,,84,,
Gipuzkoa,HONDARRIBIA,,36,2,12753,8404,49,8355,138,8217,4349,3911,629,115,8,,,3,1036,22,17,,98,54,180,111,,2033,,
Gipuzkoa,IBARRA,,42,3,3352,2097,7,2090,27,2063,1255,638,89,41,3,,,5,287,5,3,,12,11,45,19,,905,,
Bizkaia,IBARRANGELU,,48,4,559,424,2,422,1,421,135,207,3,1,0,0,0,0,9,0,0,0,1,4,5,0,,189,,2
Gipuzkoa,IDIAZABAL,,43,3,1761,1248,5,1243,16,1227,513,582,31,9,1,,,0,33,3,2,,3,7,6,4,,546,,
Bizkaia,IGORRE,,94,3,3278,2410,22,2388,20,2368,868,1097,48,18,5,1,0,0,112,1,2,3,8,13,16,7,,1035,,2
Gipuzkoa,IKAZTEGIETA,,44,3,367,247,,247,2,245,120,79,3,0,0,,,0,13,4,2,,0,0,2,0,,142,,
Gipuzkoa,IRUN,,45,2,46524,28235,224,28011,448,27563,18289,7478,3536,492,46,,,23,8691,144,66,,829,266,1184,336,,4472,,
Gipuzkoa,IRURA,,46,3,1159,788,4,784,19,765,371,283,25,13,1,,,0,69,1,1,,12,5,12,4,,339,,
Álava,IRURAIZ-GAUNA,,27,2,423,262,4,258,3,255,161,90,35,3,1,,,0,25,2,0,,8,4,3,5,0,79,0,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2269,1423,21,1402,28,1374,846,313,278,22,4,,,0,337,9,3,,52,41,48,26,0,241,0,
Bizkaia,ISPASTER,,49,4,560,461,,461,,461,99,245,6,0,0,0,0,0,1,1,0,1,3,2,2,0,,200,,0
Gipuzkoa,ITSASONDO,,47,3,484,325,4,321,1,320,159,107,6,1,1,,,0,19,3,4,,1,1,2,0,,175,,
Bizkaia,IURRETA,,910,3,3057,2005,6,1999,10,1989,1052,674,172,38,0,2,2,1,397,3,3,3,15,18,24,10,,623,,4
Bizkaia,IZURTZA,,50,3,216,180,2,178,,178,36,66,5,0,0,0,0,0,5,0,0,0,1,0,1,0,,100,,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2405,1547,12,1535,18,1517,858,929,61,24,0,0,3,1,118,2,4,1,4,3,11,6,,346,,4
Bizkaia,KORTEZUBI,,907,4,346,296,1,295,5,290,50,162,3,0,0,0,0,0,2,0,0,0,3,1,2,0,,117,,0
Álava,KRIPAN,,19,2,154,123,,123,,123,31,81,16,0,0,,,0,5,0,0,,0,1,0,0,0,20,0,
Álava,KUARTANGO,,20,2,319,238,1,237,3,234,81,104,23,0,1,,,0,8,0,0,,2,1,1,1,0,93,0,
Álava,LABASTIDA/BASTIDA,,28,2,1099,690,5,685,12,673,409,164,200,3,0,,,0,96,1,1,,21,9,23,5,0,150,0,
Álava,LAGRÁN,,30,2,155,108,1,107,1,106,47,36,34,0,0,,,0,15,0,1,,1,2,1,2,0,14,0,
Álava,LAGUARDIA,,31,2,1219,788,37,751,6,745,431,195,263,10,2,,,0,88,4,0,,20,3,16,3,0,140,1,
Álava,LANCIEGO/LANTZIEGO,,32,2,530,359,10,349,1,348,171,115,94,4,0,,,0,54,2,2,,9,1,2,3,1,61,0,
Bizkaia,LANESTOSA,,51,2,219,155,1,154,4,150,64,65,17,1,0,0,0,0,24,1,0,1,3,0,1,1,,34,,2
Álava,LANTARÓN,,902,2,772,468,6,462,7,455,304,159,99,5,1,,,0,55,1,0,,11,11,16,6,0,91,0,
Álava,LAPUEBLA DE LABARCA,,33,2,667,480,5,475,3,472,187,219,86,9,0,,,0,70,2,0,,6,2,10,1,0,67,0,
Bizkaia,LARRABETZU,,52,4,1543,1238,6,1232,8,1224,305,508,33,7,0,0,0,0,24,2,0,0,5,6,13,4,,619,,3
Gipuzkoa,LARRAUL,,48,3,174,110,,110,2,108,64,23,1,2,0,,,0,6,0,1,,0,1,1,1,,72,,
Gipuzkoa,LASARTE-ORIA,,902,1,14137,9333,50,9283,100,9183,4804,1989,855,130,14,,,6,3233,50,23,,197,66,255,124,,2241,,
Álava,LAUDIO/LLODIO,,36,3,15218,10008,108,9900,119,9781,5210,3484,942,163,3,,,7,1709,23,13,,151,101,235,99,9,2842,0,
Bizkaia,LAUKIZ,,53,4,870,659,2,657,7,650,211,358,87,4,0,0,2,0,49,0,1,0,2,1,1,4,,140,,1
Gipuzkoa,LAZKAO,,49,3,4098,2700,12,2688,46,2642,1398,909,74,43,2,,,0,386,7,4,,17,13,33,13,,1141,,
Gipuzkoa,LEABURU,,50,3,282,201,2,199,2,197,81,67,3,0,0,,,0,0,0,0,,0,0,0,0,,127,,
Gipuzkoa,LEGAZPI,,51,3,6993,4671,46,4625,53,4572,2322,1639,256,94,6,,,1,838,10,14,,37,66,125,30,,1456,,
Gipuzkoa,LEGORRETA,,52,3,1145,799,2,797,12,785,346,292,23,8,0,,,0,59,0,2,,1,2,13,8,,377,,
Álava,LEGUTIO,,58,2,1336,847,5,842,7,835,489,243,42,11,0,,,0,78,1,1,,14,13,17,5,2,408,0,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,200,122,,122,1,121,78,38,0,0,0,,,0,1,0,0,,0,1,2,0,,79,,
Bizkaia,LEIOA,,54,4,23788,15718,147,15571,241,15330,8070,6110,1889,268,13,18,28,14,2954,59,62,19,392,137,477,219,,2573,,98
Bizkaia,LEKEITIO,,57,4,5909,4501,11,4490,32,4458,1408,1850,74,22,1,1,1,1,90,5,1,1,2,7,26,7,,2364,,5
Bizkaia,LEMOA,,55,3,2663,1991,27,1964,24,1940,672,799,65,37,1,0,3,3,139,3,4,3,14,7,27,22,,804,,9
Bizkaia,LEMOIZ,,56,4,904,664,3,661,3,658,240,366,13,10,0,0,0,0,22,1,0,1,1,7,8,3,,226,,0
Álava,LEZA,,34,2,162,113,2,111,2,109,49,49,10,1,0,,,0,19,0,0,,0,1,1,0,0,28,0,
Bizkaia,LEZAMA,,81,4,1906,1426,6,1420,19,1401,480,772,54,14,0,0,2,0,80,2,1,1,7,8,23,7,,428,,2
Gipuzkoa,LEZO,,53,2,4826,2744,28,2716,43,2673,2082,716,101,51,2,,,1,400,8,5,,50,15,82,32,,1210,,
Gipuzkoa,LIZARTZA,,54,3,465,350,,350,7,343,115,67,9,0,0,,,0,1,0,0,,0,0,4,0,,262,,
Bizkaia,LOIU,,903,4,1915,1429,11,1418,7,1411,486,868,145,12,2,0,0,1,92,3,5,1,13,8,18,10,,228,,5
Bizkaia,MALLABIA,,58,3,984,685,6,679,6,673,299,253,12,8,0,0,1,0,58,0,0,2,5,4,6,1,,321,,2
Bizkaia,MARKINA-XEMEIN,,60,4,3699,2596,8,2588,13,2575,1103,1251,42,17,0,1,1,0,61,0,1,3,4,8,22,7,,1149,,8
Bizkaia,MARURI-JATABE,,61,4,768,599,7,592,6,586,169,317,24,8,0,1,0,1,29,2,0,0,4,7,7,5,,179,,2
Bizkaia,MAÑARIA,,59,3,397,308,,308,,308,89,153,3,3,0,0,0,0,7,0,0,0,0,1,0,3,,137,,1
Gipuzkoa,MENDARO,,901,4,1458,970,6,964,3,961,488,405,34,8,0,,,0,110,3,1,,12,12,19,6,,351,,
Bizkaia,MENDATA,,62,4,308,255,1,254,2,252,53,133,2,0,0,0,0,0,0,0,0,0,1,0,1,0,,115,,0
Bizkaia,MENDEXA,,63,4,352,291,,291,2,289,61,126,1,4,0,0,0,0,7,0,0,0,0,1,2,0,,148,,0
Bizkaia,MEÑAKA,,64,4,599,473,2,471,3,468,126,214,9,6,0,0,0,1,8,1,0,0,1,0,0,1,,226,,1
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,212,161,4,157,3,154,51,53,30,3,0,,,0,41,3,0,,5,2,2,1,0,14,0,
Bizkaia,MORGA,,66,4,358,276,,276,,276,82,177,3,0,0,0,0,0,3,0,0,0,0,4,0,0,,89,,0
Bizkaia,MUNDAKA,,68,4,1575,1260,4,1256,8,1248,315,747,17,10,0,0,0,0,32,0,1,0,1,5,4,3,,426,,2
Bizkaia,MUNGIA,,69,4,12486,8729,45,8684,90,8594,3757,4548,668,125,6,9,8,2,681,20,14,9,65,55,119,39,,2194,,32
Álava,MUNICIPIO CERA ARABA,,999,99,4677,404,15,389,7,382,4273,98,71,4,2,,,0,91,3,3,,12,13,9,4,1,71,0,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,30271,1704,24,1680,9,1671,28567,571,270,18,6,5,4,1,335,17,1,7,59,22,47,2,,300,,6
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,21692,1935,25,1910,10,1900,19757,471,201,19,8,,,2,365,21,5,,50,35,70,17,,636,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,357,272,,272,2,270,85,125,1,1,1,0,0,0,1,0,0,0,0,1,1,1,,138,,0
Bizkaia,MURUETA,,908,4,243,199,3,196,1,195,44,101,3,2,0,0,0,0,3,0,0,0,2,1,0,0,,83,,0
Bizkaia,MUSKIZ,,71,2,6117,4151,55,4096,50,4046,1966,1793,173,91,4,6,3,3,772,18,2,4,33,23,134,33,,934,,20
Gipuzkoa,MUTILOA,,57,3,192,121,,121,2,119,71,40,0,0,0,,,0,1,0,0,,0,0,1,1,,76,,
Gipuzkoa,MUTRIKU,,56,4,4002,2688,17,2671,45,2626,1314,1104,83,36,2,,,1,122,6,3,,1,34,24,6,,1204,,
Bizkaia,MUXIKA,,67,4,1191,912,5,907,1,906,279,410,13,10,0,0,0,0,19,0,1,1,0,2,8,3,,438,,1
Bizkaia,NABARNIZ,,909,4,193,162,,162,1,161,31,59,0,1,0,0,0,0,1,0,0,0,0,0,0,2,,98,,0
Álava,NAVARIDAS,,41,2,157,94,1,93,4,89,63,35,29,0,0,,,0,7,0,0,,4,5,0,4,0,5,0,
