TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,EB-B,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE,CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
Bizkaia,BERRIZ,,19,3,3805,1758,290,1468,9,1459,2047,384,195,35,0,0,0,0,0,0,0,0,0,0,26,684,15,0,0,101,1,2,1,8,0,0,0,2,0,0,1,4
Gipuzkoa,BERROBI,,23,3,446,171,69,102,,102,275,5,9,1,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2
Gipuzkoa,BIDANIA-GOIATZ,,24,4,355,176,59,117,2,115,179,1,2,0,0,0,1,0,0,0,0,0,0,0,3,48,0,0,0,58,0,0,1,1,0,0,0,0,0,0,0,0
Bizkaia,BILBAO,,20,1,295774,134770,9500,125270,735,124535,161004,34015,33534,6126,49,25,41,17,116,19,17,23,27,21,919,43167,90,18,7,4978,15,9,165,68,89,63,19,352,34,10,83,419
Bizkaia,BUSTURIA,,21,4,1497,842,174,668,4,664,655,67,35,19,1,0,0,0,2,0,0,1,0,0,7,427,0,0,0,103,0,0,0,0,0,0,0,2,0,0,0,0
Álava,CAMPEZO/KANPEZU,,17,2,920,455,60,395,1,394,465,69,121,18,0,0,0,0,0,0,0,0,0,0,4,162,0,0,0,15,0,0,0,0,1,1,0,3,0,0,0,0
Gipuzkoa,DEBA,,29,4,4335,2118,468,1650,8,1642,2217,186,132,91,1,0,0,0,0,0,1,0,0,0,39,652,2,0,0,517,0,2,0,1,1,3,0,10,0,0,0,4
Bizkaia,DERIO,,901,4,4192,2044,150,1894,9,1885,2148,601,218,68,1,1,1,0,1,1,2,3,0,0,8,837,0,1,0,125,0,0,2,0,1,1,0,5,0,0,2,6
Bizkaia,DIMA,,26,3,950,623,221,402,3,399,327,4,16,7,0,0,0,0,0,0,0,0,0,0,5,315,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,150983,65327,8136,57191,417,56774,85656,16820,15379,2315,21,15,23,8,40,5,12,8,21,8,1033,13392,60,4,1,6653,14,18,56,89,30,26,4,364,25,25,27,278
Bizkaia,DURANGO,,27,3,21275,9927,1377,8550,52,8498,11348,1656,1582,341,0,5,3,0,12,2,0,1,2,0,233,4094,4,1,0,492,1,2,6,4,3,8,0,16,2,0,4,24
Bizkaia,EA,,28,4,700,478,154,324,2,322,222,2,12,3,0,0,0,0,0,0,0,0,0,0,3,247,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,1
Gipuzkoa,EIBAR,,30,4,24015,10734,1262,9472,56,9416,13281,3267,1556,359,2,1,3,2,4,0,1,0,5,1,126,3009,4,0,0,974,2,0,6,2,5,6,0,49,4,2,6,20
Bizkaia,ELANTXOBE,,31,4,412,283,66,217,,217,129,2,3,1,0,0,0,0,0,0,0,0,0,0,1,169,0,1,0,38,0,0,0,0,0,0,0,2,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,363,152,15,137,,137,211,26,44,5,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2
Álava,ELCIEGO,,22,2,815,513,12,501,2,499,302,203,180,19,0,0,0,0,0,0,0,0,0,0,1,66,2,0,0,23,1,0,0,0,0,0,0,2,0,1,0,1
Gipuzkoa,ELDUAIN,,31,3,180,94,57,37,1,36,86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,854,455,100,355,2,353,399,22,17,11,0,0,0,0,0,0,0,0,0,0,76,190,0,0,1,31,0,0,0,3,0,0,0,1,0,0,0,1
Gipuzkoa,ELGOIBAR,,32,4,9026,4466,651,3815,47,3768,4560,788,483,107,0,0,2,0,0,0,1,1,1,0,61,1824,2,0,0,455,0,0,2,1,0,1,0,17,6,1,1,14
Bizkaia,ELORRIO,,32,3,6022,2935,680,2255,20,2235,3087,502,362,84,0,0,3,1,0,0,0,0,0,0,59,1049,0,0,0,167,0,0,0,2,0,0,0,1,0,0,0,5
Álava,ELVILLAR/BILAR,,23,2,310,172,8,164,1,163,138,23,69,5,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1
Bizkaia,ERANDIO,,902,4,19672,8204,730,7474,33,7441,11468,2391,1031,313,3,0,3,1,11,1,1,4,1,1,34,3300,3,1,0,263,2,1,6,2,4,1,0,33,4,1,7,18
Bizkaia,EREÑO,,33,4,227,140,24,116,,116,87,3,8,5,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ERMUA,,34,3,13885,6433,346,6087,28,6059,7452,2649,1959,297,0,1,3,1,1,2,0,2,0,0,71,898,1,0,0,138,0,0,7,0,1,1,0,18,0,0,3,6
Gipuzkoa,ERRENTERIA,,67,2,32628,12907,2421,10486,67,10419,19721,4816,1717,602,0,2,7,3,10,1,2,3,1,2,118,2123,12,0,0,843,2,0,7,3,6,16,0,77,1,1,14,30
Gipuzkoa,ERREZIL,,66,4,506,193,101,92,,92,313,2,2,1,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,510,250,19,231,,231,260,29,92,6,0,0,0,0,0,0,0,0,0,1,0,92,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,2
Bizkaia,ERRIGOITI,,79,4,446,288,55,233,,233,158,0,6,0,0,0,0,0,0,0,0,0,0,0,1,208,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1
Gipuzkoa,ESKORIATZA,,34,4,3284,1328,336,992,,992,1956,277,93,50,0,0,0,0,3,0,0,0,0,0,18,355,0,0,0,183,0,0,3,0,0,0,0,5,0,0,0,5
Bizkaia,ETXEBARRI,,29,3,6322,2474,138,2336,9,2327,3848,969,442,101,0,0,0,1,4,1,0,3,1,0,14,640,0,1,0,125,0,1,3,1,4,1,1,8,0,0,0,6
Bizkaia,ETXEBARRIA,,30,4,643,356,123,233,4,229,287,5,5,2,0,0,0,0,0,0,0,0,0,0,3,201,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,465,217,101,116,1,115,248,0,0,3,0,0,0,0,0,0,0,0,0,0,8,59,0,0,0,43,0,0,0,0,1,0,0,1,0,0,0,0
Bizkaia,FORUA,,906,4,835,476,129,347,2,345,359,31,20,4,0,0,0,0,0,0,0,0,0,0,5,260,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,1
Bizkaia,FRUIZ,,35,4,313,180,39,141,,141,133,6,5,1,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,340,190,41,149,3,146,150,1,1,1,0,0,0,0,0,0,0,0,0,0,10,54,0,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,106,46,11,35,1,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Bizkaia,GALDAKAO,,36,3,24596,10621,1307,9314,44,9270,13975,2390,1341,462,3,1,2,1,14,5,2,4,2,5,88,4190,8,5,0,658,1,3,2,2,8,13,0,26,0,1,7,26
Bizkaia,GALDAMES,,37,2,724,419,67,352,,352,305,40,18,11,0,0,0,0,0,0,0,0,0,0,3,238,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,2
Bizkaia,GAMIZ-FIKA,,38,4,1017,609,89,520,1,519,408,22,31,18,0,0,1,0,0,0,0,0,0,0,10,386,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GARAI,,39,3,248,172,22,150,1,149,76,2,2,0,0,0,0,0,0,0,0,0,0,0,9,126,2,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0
Bizkaia,GATIKA,,40,4,1140,620,120,500,,500,520,30,33,11,0,0,0,0,1,0,0,0,0,0,4,331,1,0,0,86,0,0,0,0,0,0,0,2,0,0,0,1
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,726,488,88,400,3,397,238,9,20,10,0,0,0,1,0,0,0,0,0,0,11,295,0,0,0,48,0,0,0,1,0,0,0,2,0,0,0,0
Gipuzkoa,GAZTELU,,907,3,129,67,35,32,,32,62,0,0,2,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12922,7013,1311,5702,23,5679,5909,731,489,138,2,0,3,1,2,1,0,1,2,0,63,3393,3,1,1,801,1,1,3,4,4,9,0,9,2,2,6,6
Gipuzkoa,GETARIA,,39,4,1986,1164,313,851,4,847,822,29,25,9,0,1,0,0,0,0,0,0,0,0,72,574,0,0,0,136,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,GETXO,,44,4,67662,34471,2634,31837,217,31620,33191,5643,10716,1087,81,4,9,3,28,0,1,2,5,0,246,11671,42,1,2,1780,5,1,34,12,4,16,6,86,4,2,14,115
Bizkaia,GIZABURUAGA,,47,4,116,70,31,39,,39,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1330,932,45,887,1,886,398,82,161,27,0,1,0,0,0,0,0,0,0,0,5,536,0,0,0,63,0,0,1,4,0,0,0,3,0,0,1,2
Bizkaia,GORLIZ,,43,4,3816,2036,237,1799,6,1793,1780,184,212,56,0,0,1,0,0,0,0,0,0,1,17,1147,1,0,0,156,0,0,0,0,1,0,2,5,0,0,0,10
Bizkaia,GÜEÑES,,45,2,5097,3057,230,2827,19,2808,2040,505,190,72,0,1,1,0,2,1,0,24,2,0,12,1701,1,0,0,265,0,0,3,2,0,3,0,8,2,1,3,9
Álava,HARANA/VALLE DE ARANA,,56,2,294,134,7,127,,127,160,11,54,0,0,0,0,0,0,0,0,0,0,0,1,57,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
Gipuzkoa,HERNANI,,40,1,15472,6200,2405,3795,32,3763,9272,1297,531,207,0,1,1,0,1,0,0,0,2,0,124,968,2,0,1,576,0,0,2,2,1,5,0,26,0,0,0,16
Gipuzkoa,HERNIALDE,,41,3,251,86,36,50,,50,165,5,3,5,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,12709,5150,728,4422,29,4393,7559,785,626,161,0,1,1,0,3,1,0,0,0,0,106,2033,6,1,0,601,3,0,3,2,0,6,0,27,1,0,3,23
Gipuzkoa,IBARRA,,42,3,3653,1410,463,947,9,938,2243,251,118,37,0,1,0,1,1,1,0,0,0,0,36,331,2,1,0,144,0,0,2,0,0,2,1,5,0,0,4,0
Bizkaia,IBARRANGELU,,48,4,480,307,54,253,1,252,173,7,5,0,0,0,0,0,0,0,0,0,0,0,4,214,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1780,925,226,699,2,697,855,33,35,10,0,0,0,0,0,0,0,0,0,0,17,323,0,0,0,276,0,0,1,0,0,1,0,1,0,0,0,0
Bizkaia,IGORRE,,94,3,3308,1709,359,1350,12,1338,1599,105,61,8,0,0,1,0,1,0,0,0,0,0,36,966,1,0,1,148,0,0,1,1,0,2,0,5,0,1,0,0
Gipuzkoa,IKAZTEGIETA,,44,3,318,166,74,92,,92,152,5,3,4,0,0,0,0,0,0,0,0,0,0,2,65,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,IRUN,,45,2,48157,19887,1392,18495,120,18375,28270,7690,4225,704,11,9,11,4,19,1,2,1,9,0,189,4095,26,2,2,1073,6,3,27,5,15,25,1,112,4,2,14,88
Gipuzkoa,IRURA,,46,3,880,330,123,207,2,205,550,33,19,6,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,37,0,1,0,0,0,1,0,0,0,0,0,0
Álava,IRURAIZ-GAUNA,,27,2,403,170,35,135,1,134,233,12,38,2,0,0,1,0,0,0,0,0,0,0,5,68,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1709,693,21,672,5,667,1016,262,225,18,0,0,0,0,2,0,0,0,1,0,3,122,0,1,0,19,0,0,0,0,3,1,0,2,2,0,0,6
Bizkaia,ISPASTER,,49,4,542,333,49,284,1,283,209,0,11,4,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0
Gipuzkoa,ITSASONDO,,47,3,468,213,98,115,,115,255,9,7,6,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,IURRETA,,910,3,3483,1620,300,1320,5,1315,1863,358,250,30,1,0,0,0,1,1,0,0,0,0,6,613,2,0,0,45,0,0,2,0,2,0,0,3,0,0,0,1
Bizkaia,IZURTZA,,50,3,242,156,61,95,,95,86,10,5,3,0,0,0,0,0,0,0,0,0,0,2,66,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2497,979,90,889,2,887,1518,109,93,17,1,0,0,0,0,0,0,0,0,0,4,614,0,0,0,46,0,0,1,0,0,0,0,1,0,0,0,1
